Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C7",C_Disc_D5.0mm_W2.5mm_P2.50mm,5,100n,
"J1, J11, J9",PinHeader_1x08_P2.54mm_Vertical,3,Conn_01x08,
J10,PinHeader_2x08_P2.54mm_Horizontal,1,Conn_02x08_Odd_Even,
J12,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
J14,PinHeader_2x02_P2.54mm_Vertical,1,Conn_02x02_Odd_Even,
J15,RCBus_80p_Medium,1,RCBus_80PIN_68000,
"J2, J5, J7, J8",PinSocket_1x06_P2.54mm_Horizontal,4,Conn_01x06,
"J3, J6",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
J4,PinHeader_2x10_P2.54mm_Horizontal,1,Conn_02x10_Odd_Even,
"JP1, JP2, JP3, JP4, JP5, JP6, JP7, JP8",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,8,SolderJumper,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10K,
U1,DIP-16_W7.62mm_Socket,1,74LS138,
"U2, U3",DIP-40_W15.24mm_Socket,2,68681P,
U4,DIP-20_W7.62mm_Socket,1,74LS688,
X1,Oscillator_DIP-8,1,CXO_DIP8,
