"Reference","Value","Footprint","Qty","Description"
"C1,C2,C3,C5,C6,C7,C8,C9,C10,C11","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","10","Unpolarized ceramic capacitor"
"D1,D2","BAT43","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","2","30V 0.2A Small Signal Schottky Diode, DO-35"
"D3,D4,D5","LED","LED_THT:LED_D3.0mm","3","Light emitting diode"
"J1","Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","1","Generic connector, double row, 02x04"
"J2","RCBus_80PIN_68000","MyLibrary2023:RCBus_80p_Medium","1","Generic connector, double row, 02x40, right angle"
"J4","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Generic connector, single row, 01x02"
"R1,R2,R3","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","3","Resistor"
"RN1","4K7","Resistor_THT:R_Array_SIP9","1","8 resistor network, star topology, bussed resistors, small symbol"
"RN2","10K","Resistor_THT:R_Array_SIP9","1","8 resistor network, star topology, bussed resistors, small symbol"
"U1","MC68000FN","Package_LCC:PLCC-68_THT-Socket","1","Microprocessor, 16-bit bus"
"U2","74LS125","MyLibrary2023:DIP-14_W7.62mm_Socket","1","Quad buffer 3-State outputs"
"U3","74LS148","Package_DIP:DIP-16_W7.62mm_Socket","1","8 line to 3 line priority encoder"
"U4","74LS10","Package_DIP:DIP-14_W7.62mm_Socket","1","Triple 3-input NAND"
"U5","74LS139","Package_DIP:DIP-16_W7.62mm_Socket","1","Dual Decoder 1 of 4, Active low outputs"
"U6,U8","74LS175","Package_DIP:DIP-16_W7.62mm_Socket","2","4-bit D Flip-Flop, reset"
"U9","74LS00","Package_DIP:DIP-14_W7.62mm_Socket","1","quad 2-input NAND gate"
"X1","7.3728MHz","Oscillator:Oscillator_DIP-8","1","Crystal Clock Oscillator, DIP8-style metal package"
